*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :6903766
     CYCLE NUMBER          :005
     DATE CREATION         :20191223063223
     DATE UPDATE           :20191223063227
     PROJECT NAME          :Argo Italy
     PI NAME               :Pierre-Marie Poulain
     INSTRUMENT TYPE       :ARVOR
     FLOAT SERIAL NO       :AI2600-19EU001
     FIRMWARE VERSION      :5900A04
     WMO INSTRUMENT TYPE   :844
     TRANSMISSION SYSTEM   :IRIDIUM
     POSITIONING SYSTEM    :GPS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :R(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25558.2476 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-23
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :42.916  
     LONGITUDE             :29.274  
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
  285.2  285.2  1    8.829    8.829  1   21.724   21.724  1
  295.0  295.0  1    8.838    8.838  1   21.757   21.757  1
  305.1  305.1  1    8.843    8.843  1   21.778   21.778  1
  315.3  315.3  1    8.849    8.849  1   21.797   21.797  1
  325.3  325.3  1    8.854    8.854  1   21.820   21.820  1
  335.3  335.3  1    8.860    8.860  1   21.840   21.840  1
  345.2  345.2  1    8.864    8.864  1   21.853   21.853  1
  355.4  355.4  1    8.866    8.866  1   21.872   21.872  1
  365.4  365.4  1    8.868    8.868  1   21.886   21.886  1
  375.3  375.3  1    8.872    8.872  1   21.903   21.903  1
  385.1  385.1  1    8.874    8.874  1   21.919   21.919  1
  395.0  395.0  1    8.877    8.877  1   21.933   21.933  1
  405.2  405.2  1    8.879    8.879  1   21.946   21.946  1
  415.5  415.5  1    8.882    8.882  1   21.958   21.958  1
  425.4  425.4  1    8.884    8.884  1   21.968   21.968  1
  435.4  435.4  1    8.885    8.885  1   21.978   21.978  1
  445.4  445.4  1    8.887    8.887  1   21.985   21.985  1
  455.1  455.1  1    8.887    8.887  1   21.998   21.998  1
  465.4  465.4  1    8.889    8.889  1   22.007   22.007  1
  475.8  475.8  1    8.889    8.889  1   22.019   22.019  1
  485.3  485.3  1    8.891    8.891  1   22.031   22.031  1
  495.1  495.1  1    8.891    8.891  1   22.045   22.045  1
